longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity_<1H OCEAN,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN
-1.321548015066925,1.0492026536900592,0.9796489971795066,-0.8065657045600622,-0.9735276075027696,-0.9678408588313531,-0.9756422256708701,2.349835063111808,2.1277869643242058,0.0,0.0,0.0,1.0,0.0
-1.3165694775552392,1.0398561089667995,-0.6058787296922601,2.0377195623697113,1.3384183884345677,0.8480303223450575,1.6533292882471722,2.337291331553709,1.3120926753679931,0.0,0.0,0.0,1.0,0.0
-1.3315050900902896,1.0351828366051714,1.8516892469589783,-0.6263681816190217,-0.7226921156201106,-0.7617102196982926,-0.7340470173760303,0.9362408441212484,1.162996588544966,0.0,0.0,0.0,1.0,0.0
-1.3315050900902896,1.0351828366051714,1.8516892469589783,-0.4649221775627088,-0.6162053501982272,-0.7555961753172272,-0.6301350998298626,-0.010810888515168886,1.1707981279717523,0.0,0.0,0.0,1.0,0.0
-1.3315050900902896,1.0351828366051714,1.8516892469589783,-0.788728893913614,-0.7747523120485871,-0.8883582818775035,-0.8015897637810393,0.08964437345850883,0.5423407852584108,0.0,0.0,0.0,1.0,0.0
-1.3315050900902896,1.0305095642435431,1.8516892469589783,-0.0496446373838643,-0.12163348412770154,-0.29354910709100246,0.032303374526956356,-0.10942148408324377,0.7980579109141842,0.0,0.0,0.0,1.0,0.0
-1.3315050900902896,1.0305095642435431,1.8516892469589783,0.41411243942378806,0.3942357350272008,0.10561064750140715,0.5518629622577947,-0.09250325790614498,0.4677927418468972,0.0,0.0,0.0,1.0,0.0
-1.3364836276019754,1.0351828366051714,1.8516892469589783,-0.20194355905738326,-0.2517839751988925,-0.45426113082186326,-0.25864999460231314,-0.3497551643560505,0.6446276355207201,0.0,0.0,0.0,1.0,0.0
-1.3364836276019754,1.0351828366051714,1.8516892469589783,0.393074149943362,0.5007225004490843,0.06455920665711119,0.6038189210308785,-0.3142321598595873,0.30049306302803525,0.0,0.0,0.0,1.0,0.0
-1.3364836276019754,1.0351828366051714,1.8516892469589783,-0.06976821862601096,-0.1571290726016627,-0.2900553674446794,-0.08719533065113647,-0.4172699548011086,0.05517798994131026,0.0,0.0,0.0,1.0,0.0
-1.3364836276019754,1.0305095642435431,1.8516892469589783,-0.8907188624817663,-0.8268125084770634,-0.9477518558649956,-0.8509479246154689,-0.6288268391465136,-0.13725998258608532,0.0,0.0,0.0,1.0,0.0
-1.3364836276019754,1.0351828366051714,1.8516892469589783,-0.0002503925167770706,0.20255955726781044,-0.1904837875244722,0.3076699560243007,-1.0277491255467053,-0.4155148888081303,0.0,0.0,0.0,1.0,0.0
-1.3364836276019754,1.0351828366051714,1.6931364742718016,-0.6968007159665349,-0.6091062325034349,-0.6403027669885663,-0.6171461101365916,-0.9179651220361227,-0.5819477299129049,0.0,0.0,0.0,1.0,0.0
-1.341462165113654,1.0351828366051714,1.8516892469589783,-0.3098791311743517,-0.45765838834786726,-0.5564530154768128,-0.4430936482467608,-0.5753842181384816,-0.4735930156519839,0.0,0.0,0.0,1.0,0.0
-1.341462165113654,1.0351828366051714,1.8516892469589783,-0.6474064710994477,-0.5854425068541275,-0.6831010776560237,-0.5158319905290781,-0.9204949502495207,-0.4475878842293629,0.0,0.0,0.0,1.0,0.0
-1.3364836276019754,1.0305095642435431,1.6931364742718016,-0.1850214566492145,-0.20209015133534686,-0.38438633789540205,-0.21448742964519188,-0.9885367882390368,-0.41984907737856714,0.0,0.0,0.0,1.0,0.0
-1.341462165113654,1.0305095642435431,1.8516892469589783,-0.5216340883360312,-0.5736106440294737,-0.6464168113696316,-0.5885703328113955,-0.6658782815219046,-0.3834418933868977,0.0,0.0,0.0,1.0,0.0
-1.341462165113654,1.0351828366051714,0.9003726108359182,-0.865564385929083,-0.8433771164315786,-0.8918520215238266,-0.8717303081247024,-1.3223159981442307,-0.5169349013563523,0.0,0.0,0.0,1.0,0.0
-1.341462165113654,1.0305095642435431,1.8516892469589783,-0.19188176843630994,-0.24468485750410027,-0.3704113793101098,-0.2066940358292293,-0.6676175384186157,-0.6460937207553701,0.0,0.0,0.0,1.0,0.0
-1.3464407026253398,1.0351828366051714,0.9796489971795066,-0.9643528756632574,-0.987725842892354,-0.972208033389257,-0.9938268112414494,-0.7710242666412576,-0.8636699869912993,0.0,0.0,0.0,1.0,0.0
-1.3464407026253398,1.0351828366051714,1.6138600879282132,-0.692227174775138,-0.701394762535734,-0.7189119090308351,-0.6820910586029464,-0.7415623089060603,-0.9824267538212687,0.0,0.0,0.0,1.0,0.0
-1.3464407026253398,1.0351828366051714,1.8516892469589783,-0.340979211275851,-0.2825468185429922,-0.28656162779835637,-0.2716389842955841,-1.08503919362928,-0.8810067412730467,0.0,0.0,0.0,1.0,0.0
-1.3464407026253398,1.0305095642435431,1.6931364742718016,-0.2568260533541469,-0.1145343664329093,-0.26123201536251417,-0.0742063409578655,-1.1723182669915098,-0.8515342589940762,0.0,0.0,0.0,1.0,0.0
